	id	ext_timestamp	zenith	azimuth
1622	1622	1451667645906414939	0.37271637	1.70181
1642	1642	1451668234462863126	0.2665776	-1.0854893
1666	1666	1451669199816221723	0.12259606	-0.6562695
1673	1673	1451669429719315585	0.47460294	0.7571408
1681	1681	1451669770493816125	0.3222989	-0.043386437
1682	1682	1451669808109322095	0.36128625	1.6699117
1687	1687	1451669919146803153	0.3493091	2.955516
1697	1697	1451670258090737576	0.28783128	-3.1341841
1703	1703	1451670399798628282	0.48604682	-1.7120303
1708	1708	1451670579500328482	0.61906177	-2.2560744
1713	1713	1451670747233029825	0.3803331	-0.3143817
1714	1714	1451670848830687040	0.33568978	-2.0181935
1718	1718	1451671077821138676	0.52265835	1.2995073
1720	1720	1451671103527902161	0.22824113	2.5354242
1724	1724	1451671402336910167	0.46203935	0.8119665
1737	1737	1451671945559886126	0.27112925	0.34918734
1741	1741	1451672155627790357	0.46199825	-2.4812706
1761	1761	1451672855616125065	0.46979287	3.0462162
1766	1766	1451673065654962649	0.30266777	-2.5200827
1772	1772	1451673244297224478	0.1777015	0.055698078
1781	1781	1451673498999609341	0.43688878	-1.5466406
1784	1784	1451673617303592101	0.1705961	1.2505635
1791	1791	1451673993419262036	0.64954746	-1.7033437
1799	1799	1451674178449300066	0.61656994	1.9085104
1817	1817	1451674767349057367	0.45892024	-2.7445915
1821	1821	1451674910475883469	0.2857468	1.0678831
1822	1822	1451674931569027063	0.567755	1.6592405
1825	1825	1451674989601434446	0.76657754	0.751251
1826	1826	1451675004766434881	0.40058535	-2.0690777
1828	1828	1451675106973070493	0.35986966	1.6738263
1830	1830	1451675110402310417	0.054951314	-0.4968389
1847	1847	1451675457902398087	0.45167667	0.47336864
1852	1852	1451675643502265011	0.43093443	-2.6872377
1854	1854	1451675662845566661	0.23906806	0.24765661
1859	1859	1451675940515601417	0.4273441	0.23588851
1860	1860	1451676000881519438	0.35652757	1.9288905
1884	1884	1451676854425583314	0.17049664	1.7667263
1886	1886	1451676886588268818	0.65988404	1.3583688
1893	1893	1451677109173286484	0.24085458	-1.9380573
1898	1898	1451677406602077284	0.4890893	-1.1960924
1901	1901	1451677492189313679	0.39352143	-0.35039172
1908	1908	1451677844608951709	0.36090064	0.82358575
1911	1911	1451677970406347015	0.10336563	-2.0224328
1913	1913	1451678008310878602	0.3880529	0.26443046
1934	1934	1451678714359412373	0.20185886	-1.8968012
1938	1938	1451678797637197354	0.5073205	-2.161902
1952	1952	1451679241579832320	0.2711704	2.475767
1964	1964	1451679682597489069	0.50680214	-2.7031937
1976	1976	1451680589282574884	0.311807	2.3499398
1980	1980	1451680817481486257	0.39419135	1.9797797
1990	1990	1451681331633875410	0.3763386	3.047281
1994	1994	1451681512748031945	0.21278554	1.1148404
1995	1995	1451681531131843934	0.31877708	2.0830672
1996	1996	1451681545122391140	0.288614	-0.47356755
2005	2005	1451681871624117087	0.50965554	-1.843429
2008	2008	1451681930732608754	0.54242224	0.4745818
2009	2009	1451681955663201471	0.6093648	0.8734902
2010	2010	1451681968811187067	0.35750988	-2.7117953
2011	2011	1451682062138827283	0.47944844	0.28225243
2012	2012	1451682062313161198	0.5125026	-2.3402464
2013	2013	1451682100022968057	0.28607237	-2.7472484
2032	2032	1451682563932444723	0.33103856	-2.8292522
2042	2042	1451682732738133315	0.25862768	-3.1114073
2050	2050	1451682960217461188	0.4773613	0.58643734
2059	2059	1451683319867001293	0.2728516	2.0102599
2063	2063	1451683474295815570	0.7147327	1.4045292
2068	2068	1451683627662123541	0.21480964	1.7254522
2071	2071	1451683815206960789	0.1342813	0.26682106
2075	2075	1451683959067530834	0.56278473	3.0669196
2084	2084	1451684322342217917	0.41155222	1.4999424
2085	2085	1451684380777849459	0.61452127	0.1272527
2089	2089	1451684457718363128	0.41341236	2.2860134
2093	2093	1451684542189467896	0.15789934	0.82345384
2109	2109	1451685104998714661	0.35996258	1.6324434
2112	2112	1451685165268770918	0.23511435	-0.2870038
2126	2126	1451685522380049866	0.27476564	-1.9200232
2131	2131	1451685655642606310	0.22353919	-0.7462826
2136	2136	1451685708149484861	0.32868007	0.247671
2142	2142	1451685876525613471	0.9197361	-0.04034557
2143	2143	1451685895264341100	0.26997593	-1.1953659
2147	2147	1451685982033472874	0.5916385	-1.164876
2154	2154	1451686293713770761	0.24718659	2.3890998
2167	2167	1451687045006594928	0.14122361	0.44586974
2175	2175	1451687402461643212	0.3854469	0.8064651
2178	2178	1451687500370656239	0.54554677	-0.34277886
2192	2192	1451688355430298649	0.51884586	0.83174497
2222	2222	1451689184737892585	0.49817446	1.2232547
2234	2234	1451689748944746194	0.72566545	0.85875446
2255	2255	1451690362428481367	0.35445288	2.1083705
2263	2263	1451690655841199078	0.47392082	1.2730942
2273	2273	1451691148771854311	0.17081657	-1.4626316
2278	2278	1451691274019860998	0.20268388	1.2516726
2282	2282	1451691412744710481	0.403055	-1.6117597
2283	2283	1451691421412713989	0.56320626	-2.3086793
2290	2290	1451691622960817578	0.23161718	0.76951224
2297	2297	1451691983658741680	0.43308228	-1.5978687
2299	2299	1451692019626754489	0.3823526	0.16877982
2303	2303	1451692072027612151	0.3601125	-2.3126523
2306	2306	1451692167648173284	0.57209927	-0.0045013865
2310	2310	1451692366393509926	0.3154268	-3.0647733
2313	2313	1451692412159160006	0.34272796	1.164622
2319	2319	1451692669504158859	0.37105778	2.7579174
2322	2322	1451692695490445730	0.8905768	-0.32771385
2324	2324	1451692776230081443	0.3312921	-1.4949512
